Unnamed: 0.1,Unnamed: 0,tusId,sensorName,valueX,valueY,valueZ,timestamp
2298,2298,346,Gyroscope,0.028513865550157377,0.2795560880927651,0.3170736103121623,1568181621088
2300,2300,346,Gyroscope,0.03548822278060595,0.3301766458526399,0.3382741709053465,1568181621090
2302,2302,346,Gyroscope,0.037001830476132216,0.3829300677225227,0.36201635576493874,1568181621093
2304,2304,346,Gyroscope,0.030464157294347365,0.4376009860191939,0.38763389875945653,1568181621094
2306,2306,346,Gyroscope,0.018200133615075935,0.48938034022253557,0.41372537612003035,1568181621096
2308,2308,346,Gyroscope,0.005152055670713815,0.5327528171694166,0.43870364818403385,1568181621098
2310,2310,346,Gyroscope,-0.008003088242715173,0.5701714960183961,0.4651011175793578,1568181621100
2312,2312,346,Gyroscope,-0.025354766207099956,0.607744810981967,0.49803078516635824,1568181621103
2314,2314,346,Gyroscope,-0.0481766507804916,0.6441667462218758,0.5371938300206842,1568181621105
2316,2316,346,Gyroscope,-0.07224526566326883,0.6728314787935801,0.5771466127195793,1568181621106
2318,2318,346,Gyroscope,-0.09457831106699421,0.6922144070327602,0.6165191702424178,1568181621108
2320,2320,346,Gyroscope,-0.11576609392466582,0.705705228907874,0.6580124362929701,1568181621110
2322,2322,346,Gyroscope,-0.13414840530600464,0.7139509310844281,0.6993138027121162,1568181621113
2324,2324,346,Gyroscope,-0.1453029713517865,0.7152592299734837,0.7350352250031936,1568181621115
2326,2326,346,Gyroscope,-0.14756449531664376,0.7111544259871483,0.7673023669276949,1568181621116
2328,2328,346,Gyroscope,-0.1425555664773541,0.7056265409117692,0.8034698124101999,1568181621118
2330,2330,346,Gyroscope,-0.13173927067566446,0.7008915105936864,0.8440064401951616,1568181621120
2332,2332,346,Gyroscope,-0.11508057652906489,0.6970080138275836,0.8836136031931872,1568181621123
2334,2334,346,Gyroscope,-0.09224520620493604,0.6938068921505764,0.9235515560996963,1568181621125
2336,2336,346,Gyroscope,-0.06513528240535227,0.6905168317378162,0.9702533319307454,1568181621127
2337,2337,346,Gyroscope,-0.03614694719451465,0.6831883971093125,1.0220261917353888,1568181621128
2340,2340,346,Gyroscope,-0.0015549500999500329,0.666112662109793,1.0708558001313435,1568181621130
2342,2342,346,Gyroscope,0.04545363280601805,0.6392874644087497,1.1176865792937454,1568181621133
2344,2344,346,Gyroscope,0.10185776571471841,0.610654792069402,1.1721947697029282,1568181621135
2346,2346,346,Gyroscope,0.156758461737028,0.5872176337191,1.2352772601397177,1568181621136
2348,2348,346,Gyroscope,0.20985629997469185,0.5687261462704181,1.2946929991364584,1568181621138
2350,2350,346,Gyroscope,0.2733326902390347,0.5525751534190944,1.341883131313673,1568181621140
2351,2351,346,Gyroscope,0.35027768681615407,0.5390631218118619,1.3798253106388503,1568181621143
2354,2354,346,Gyroscope,0.4275612846675517,0.528607112654633,1.4099134525160109,1568181621145
2356,2356,346,Gyroscope,0.49592058469584943,0.517821334489292,1.4251721179281298,1568181621146
2358,2358,346,Gyroscope,0.5594209727394063,0.5028126745839294,1.4216084538185187,1568181621148
2360,2360,346,Gyroscope,0.6207763588524929,0.485200586909446,1.405326566830073,1568181621150
2362,2362,346,Gyroscope,0.6751111633004365,0.47098327245383015,1.3832555410839729,1568181621153
2364,2364,346,Gyroscope,0.7204056395615936,0.46425385070249,1.352822745915618,1568181621155
2366,2366,346,Gyroscope,0.7602045706173807,0.4647388993121717,1.3071542146024209,1568181621157
2368,2368,346,Gyroscope,0.7962772612579138,0.4707557693949675,1.248065147824698,1568181621158
2370,2370,346,Gyroscope,0.827803521487301,0.4845610508241116,1.1834737860723779,1568181621160
2372,2372,346,Gyroscope,0.855334414003792,0.5138812529404733,1.1136079794581866,1568181621162
2374,2374,346,Gyroscope,0.878568764019408,0.5630426967212409,1.0356064212941702,1568181621165
2376,2376,346,Gyroscope,0.8947084474461422,0.6238886734745531,0.9583845238350822,1568181621167
2377,2377,346,Gyroscope,0.9047201028412312,0.6836424789925438,0.8933207536572525,1568181621169
2380,2380,346,Gyroscope,0.9135565684127618,0.7408861483578588,0.835121038454998,1568181621170
2382,2382,346,Gyroscope,0.9201722209230596,0.8045797564281245,0.7707824421594562,1568181621172
2384,2384,346,Gyroscope,0.917698642109545,0.8756758360403933,0.7007205395898655,1568181621175
2385,2385,346,Gyroscope,0.9055851671879506,0.9387127038350338,0.6334104022846414,1568181621177
2387,2387,346,Gyroscope,0.8917246802458417,0.976797165694457,0.5680051731179432,1568181621179
2390,2390,346,Gyroscope,0.8819473208121633,0.9870699367165554,0.49974536474352094,1568181621180
2392,2392,346,Gyroscope,0.8732828761173967,0.9755329563721902,0.4309325308896394,1568181621182
2394,2394,346,Gyroscope,0.8581016376357989,0.9460725484961441,0.3623979481985794,1568181621185
2395,2395,346,Gyroscope,0.834388045266535,0.9033800958655407,0.2905621378657621,1568181621187
2398,2398,346,Gyroscope,0.8097091089091768,0.8589836625643482,0.22035706568472463,1568181621188
2400,2400,346,Gyroscope,0.7898752671496329,0.8219115476369212,0.16242238550087884,1568181621190
2402,2402,346,Gyroscope,0.7672059339032736,0.7848051973334247,0.11822094871495623,1568181621192
2404,2404,346,Gyroscope,0.7298898947384129,0.7320663748854914,0.08365963160554471,1568181621195
2405,2405,346,Gyroscope,0.6797108764050821,0.6622653743010769,0.05988550360549589,1568181621197
2408,2408,346,Gyroscope,0.6271249826535801,0.5860209789107006,0.047872403593156344,1568181621198
2409,2409,346,Gyroscope,0.5720247915870034,0.5062877525357997,0.040438162867887,1568181621200
2412,2412,346,Gyroscope,0.5070636771138105,0.4328666592271746,0.028685793880854085,1568181621202
2414,2414,346,Gyroscope,0.43713107740957624,0.40893794925527926,0.010772079963296089,1568181621205
2416,2416,346,Gyroscope,0.37398982461623,0.46656691974603304,-0.009794176775830547,1568181621207
2417,2417,346,Gyroscope,0.3123417776373522,0.5514739948932681,-0.028523828469315126,1568181621209
2420,2420,346,Gyroscope,0.23360215437800264,0.5575557048904329,-0.04049586571439973,1568181621210
2422,2422,346,Gyroscope,0.13403728483692423,0.444613070880653,-0.04200333643915276,1568181621212
2424,2424,346,Gyroscope,0.025190168829657824,0.2549616550599642,-0.03283372951058576,1568181621215
2426,2426,346,Gyroscope,-0.09223671042852205,0.023043333381010077,-0.014713461177900183,1568181621217
2428,2428,346,Gyroscope,-0.2241957005821694,-0.24225823591280335,0.009813098512132424,1568181621218
2429,2429,346,Gyroscope,-0.35582711269819284,-0.4978968831791094,0.0351460059232811,1568181621220
2432,2432,346,Gyroscope,-0.4626665625028039,-0.6851476220010221,0.05559683817450801,1568181621222
2434,2434,346,Gyroscope,-0.5462203022559158,-0.8027811890249408,0.0757221138708502,1568181621225
2436,2436,346,Gyroscope,-0.6285422334016253,-0.8946233074863632,0.11060915244945645,1568181621227
2438,2438,346,Gyroscope,-0.7169605961694532,-0.9830012748829191,0.16764710748292638,1568181621228
2440,2440,346,Gyroscope,-0.8006320589108166,-1.065235239657202,0.23506955052252315,1568181621230
2442,2442,346,Gyroscope,-0.8764487427581913,-1.1504902936940242,0.296278746810831,1568181621232
2444,2444,346,Gyroscope,-0.9524118573883102,-1.2538218069428853,0.34608020927053107,1568181621235
2446,2446,346,Gyroscope,-1.0295159363413624,-1.3720307098188744,0.38752116997589114,1568181621237
2448,2448,346,Gyroscope,-1.1017252234047759,-1.4961830697459384,0.42414824898887094,1568181621239
2450,2450,346,Gyroscope,-1.166181839981742,-1.6253964979313444,0.45854750284674733,1568181621240
2452,2452,346,Gyroscope,-1.2197349234564827,-1.750770301839223,0.4906594059712358,1568181621242
2454,2454,346,Gyroscope,-1.2578765895790505,-1.8533288681993079,0.5183709789047461,1568181621245
2455,2455,346,Gyroscope,-1.2834793833180262,-1.9267063184461772,0.5427440840822444,1568181621247
2458,2458,346,Gyroscope,-1.3043265469346466,-1.980106705897799,0.5680890155530762,1568181621248
2460,2460,346,Gyroscope,-1.321992121905637,-2.0194122803831123,0.5953972357863748,1568181621251
2462,2462,346,Gyroscope,-1.3332964618255216,-2.0408248470309136,0.6195138582918225,1568181621253
2463,2463,346,Gyroscope,-1.3395246625333144,-2.041285149236666,0.6336048122475733,1568181621255
2466,2466,346,Gyroscope,-1.3448105075336454,-2.026989634768801,0.635826078962648,1568181621256
2468,2468,346,Gyroscope,-1.3484346154131104,-2.010495566349352,0.6314017693080588,1568181621258
2470,2470,346,Gyroscope,-1.3467980860469397,-1.9978629604583196,0.6231389571848676,1568181621260
2472,2472,346,Gyroscope,-1.3398774508472475,-1.9773656340650818,0.5978750163571503,1568181621263
2473,2473,346,Gyroscope,-1.3297277134980006,-1.9283678047483654,0.5356494748865175,1568181621265
2476,2476,346,Gyroscope,-1.3164254736253251,-1.8448494029003877,0.43937223604400777,1568181621266
2478,2478,346,Gyroscope,-1.2993788142114537,-1.7382053829970041,0.3347900633620091,1568181621268
2480,2480,346,Gyroscope,-1.279589612754052,-1.6173526588270404,0.23356927135289662,1568181621270
2482,2482,346,Gyroscope,-1.258233204061736,-1.482886205928216,0.12374843399495714,1568181621273
2484,2484,346,Gyroscope,-1.232945759510506,-1.3305708774870966,-0.0014018724305728952,1568181621275
2486,2486,346,Gyroscope,-1.1974519779885595,-1.1466154273565132,-0.13264241109237673,1568181621277
2488,2488,346,Gyroscope,-1.149397879510168,-0.9261093292582234,-0.25400577806447444,1568181621278
2490,2490,346,Gyroscope,-1.0966008837001633,-0.7016969815766472,-0.34436714301376303,1568181621280
2492,2492,346,Gyroscope,-1.047487615463728,-0.5149327250919304,-0.3908415505046484,1568181621282
2494,2494,346,Gyroscope,-0.9971297085244722,-0.3610053416057255,-0.4111791577487639,1568181621285
2496,2496,346,Gyroscope,-0.9331686782739477,-0.20144219282708786,-0.44058824205871294,1568181621287
